last_name,first_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Menéndez,Robert,1954-01-01,M,sen,NJ,,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,00791,N00000699,S306,29608,400272,26961,Bob Menendez,,29373,Bob Menendez
Nelson,Bill,1942-09-29,M,sen,FL,,1,Democrat,https://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.billnelson.senate.gov/contact-bill,,SenBillNelson,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,00859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),,14651,Bill Nelson
Sanders,Bernard,1941-09-08,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,01010,N00000528,S313,994,400357,27110,Bernie Sanders,,29147,Bernie Sanders
Stabenow,Debbie,1950-04-29,F,sen,MI,,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,01531,N00004118,S284,45451,300093,515,Debbie Stabenow,,29732,Debbie Stabenow
Tester,Jon,1956-08-21,M,sen,MT,,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,01829,N00027605,S314,1020176,412244,20928,Jon Tester,,40702,Jon Tester
Whitehouse,Sheldon,1955-10-20,M,sen,RI,,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,01823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,,40704,Sheldon Whitehouse
Barrasso,John,1952-07-21,M,sen,WY,,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,01881,N00006236,S317,1024777,412251,52662,John Barrasso,,40707,John Barrasso
Wicker,Roger,1951-07-05,M,sen,MS,,1,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,01226,N00003280,S318,18203,400432,21926,Roger Wicker,,29534,Roger Wicker
Alexander,Lamar,1940-07-03,M,sen,TN,,2,Republican,https://www.alexander.senate.gov/public,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,01695,N00009888,S289,5,300002,15691,Lamar Alexander,,40304,Lamar Alexander
Collins,Susan,1952-12-07,F,sen,ME,,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,01541,N00000491,S252,45738,300025,379,Susan Collins,,49703,Susan Collins
Cornyn,John,1952-02-02,M,sen,TX,,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,01692,N00024852,S287,93131,300027,15375,John Cornyn,,40305,John Cornyn
Durbin,Richard,1944-11-21,M,sen,IL,,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,00326,N00004981,S253,6741,300038,26847,Dick Durbin,,15021,Dick Durbin
Enzi,Michael,1944-02-01,M,sen,WY,,2,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,01542,N00006249,S254,45824,300041,558,Mike Enzi,,49706,Mike Enzi
Graham,Lindsey,1955-07-09,M,sen,SC,,2,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,00452,N00009975,S293,36782,300047,21992,Lindsey Graham,,29566,Lindsey Graham
Inhofe,James,1934-11-17,M,sen,OK,,2,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,00583,N00005582,S236,5619,300055,27027,Jim Inhofe,,15424,Jim Inhofe
McConnell,Mitch,1942-02-20,M,sen,KY,,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,01395,N00003389,S174,2351,300072,53298,Mitch McConnell,,14921,Mitch McConnell
Merkley,Jeff,1956-10-24,M,sen,OR,,2,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,01900,N00029303,S322,1029842,412325,23644,Jeff Merkley,,40908,Jeff Merkley
Reed,John,1949-11-12,M,sen,RI,,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,00949,N00000362,S259,24239,300081,27060,Jack Reed,,29142,Jack Reed (Rhode Island politician)
Risch,James,1943-05-03,M,sen,ID,,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,01896,N00029441,S323,1020034,412322,2919,Jim Risch,,40902,Jim Risch
Roberts,Pat,1936-04-20,M,sen,KS,,2,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,00968,N00005285,S260,16354,300083,26866,Pat Roberts,,14852,Pat Roberts
Shaheen,Jeanne,1947-01-28,F,sen,NH,,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,01901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,,40906,Jeanne Shaheen
Udall,Tom,1948-05-18,M,sen,NM,,2,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,https://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,01567,N00006561,S326,10075,400413,22658,Tom Udall,,29924,Tom Udall
Warner,Mark,1954-12-15,M,sen,VA,,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,01897,N00002097,S327,7630,412321,535,Mark Warner,,40909,Mark Warner
Gillibrand,Kirsten,1966-12-09,F,sen,NY,,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,SenGillibrand,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,01866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,,20735,Kirsten Gillibrand
Coons,Chris,1963-09-09,M,sen,DE,,2,Democrat,https://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,01984,N00031820,S337,9269028,412390,122834,Chris Coons,,40916,Chris Coons
Manchin,Joe,1947-08-24,M,sen,WV,,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,01983,N00032838,S338,62864,412391,7547,Joe Manchin III,,40915,Joe Manchin
Aderholt,Robert,1965-07-22,M,rep,AL,4,,Republican,https://aderholt.house.gov,235 Cannon House Office Building; Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,01460,N00003028,,45516,400004,441,Robert B. Aderholt,,29701,Robert Aderholt
Amash,Justin,1980-04-18,M,rep,MI,3,,Republican,https://amash.house.gov,114 Cannon House Office Building; Washington DC 20515-2203,202-225-3831,,http://amash.house.gov/rss.xml,,repjustinamash,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,02029,N00031938,,1033767,412438,105566,Justin Amash,,21143,Justin Amash
Baldwin,Tammy,1962-02-11,F,sen,WI,,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,01558,N00004367,S354,57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin
Barletta,Lou,1956-01-28,M,rep,PA,11,,Republican,https://barletta.house.gov,2049 Rayburn House Office Building; Washington DC 20515-3811,202-225-6511,,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,02054,N00025495,,29618,412469,47143,Lou Barletta,,21171,Lou Barletta
Barton,Joe,1949-09-15,M,rep,TX,6,,Republican,https://joebarton.house.gov,2107 Rayburn House Office Building; Washington DC 20515-4306,202-225-2002,,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,00062,N00005656,,5248,400018,27082,,,15085,Joe Barton
Bass,Karen,1953-10-03,F,rep,CA,37,,Democrat,https://bass.house.gov,2241 Rayburn House Office Building; Washington DC 20515-0537,202-225-7084,,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,01996,N00031877,,62502,412404,28963,,,21110,Karen Bass
Bennet,Michael,1964-11-28,M,sen,CO,,3,Democrat,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/?p=contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,01965,N00030608,S330,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet
Bilirakis,Gus,1963-02-08,M,rep,FL,12,,Republican,https://bilirakis.house.gov,2112 Rayburn House Office Building; Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,01838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,,20758,Gus Bilirakis
Bishop,Rob,1951-07-13,M,rep,UT,1,,Republican,https://robbishop.house.gov,123 Cannon House Office Building; Washington DC 20515-4401,202-225-0453,,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,01753,N00025292,,1003621,400029,50544,Rob Bishop,,20357,Rob Bishop
Bishop,Sanford,1947-02-04,M,rep,GA,2,,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building; Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,00091,N00002674,,26194,400030,26817,,,29339,Sanford Bishop
Black,Diane,1951-01-16,F,rep,TN,6,,Republican,https://black.house.gov,1131 Longworth House Office Building; Washington DC 20515-4206,202-225-4231,,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,02063,N00031539,,9268964,412478,25292,,,21180,Diane Black
Blackburn,Marsha,1952-06-06,F,rep,TN,7,,Republican,https://blackburn.house.gov,2266 Rayburn House Office Building; Washington DC 20515-4207,202-225-2811,,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,01748,N00003105,,31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn
Blumenauer,Earl,1948-08-16,M,rep,OR,3,,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building; Washington DC 20515-3703,202-225-4811,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,00099,N00007727,,43809,400033,367,Earl Blumenauer,,29588,Earl Blumenauer
Blumenthal,Richard,1946-02-13,M,sen,CT,,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,02076,N00031685,S341,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal
Blunt,Roy,1950-01-10,M,sen,MO,,3,Republican,https://www.blunt.senate.gov/public,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,01464,N00005195,S342,45465,400034,418,Roy Blunt,,29735,Roy Blunt
Boozman,John,1950-12-10,M,sen,AR,,3,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,01687,N00013873,S343,92069,400040,27958,John Boozman,,20101,John Boozman
Bordallo,Madeleine,1933-05-31,F,rep,GU,0,,Democrat,https://bordallo.house.gov,2441 Rayburn House Office Building; Washington DC 20515-5301,202-225-1188,,http://bordallo.house.gov/rss.xml,,madeleine.bordallo,RepMadeleineBordallo,UCmHdfm0Nyslc8LOoq3KIATg,B001245,01723,N00024866,,1003568,400041,1751,,,,Madeleine Bordallo
Brady,Kevin,1955-04-11,M,rep,TX,8,,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building; Washington DC 20515-4308,202-225-4901,,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,01468,N00005883,,45749,400046,361,,,29760,Kevin Brady
Brady,Robert,1945-04-07,M,rep,PA,1,,Democrat,https://brady.house.gov,2004 Rayburn House Office Building; Washington DC 20515-3801,202-225-4731,,http://brady.house.gov/rss.xml,RepBrady,RepRobertBrady,BradyPA01,UCHbTbPH6iCtaA_AKPwDy04A,B001227,01469,N00001619,,55227,400047,2519,Robert A. Brady,,29777,Bob Brady
Brooks,Mo,1954-04-29,M,rep,AL,5,,Republican,https://brooks.house.gov,2400 Rayburn House Office Building; Washington DC 20515-0105,202-225-4801,,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,01987,N00030910,,94888,412395,121610,Mo Brooks,,21193,Mo Brooks
Buchanan,Vern,1951-05-08,M,rep,FL,16,,Republican,https://buchanan.house.gov,2104 Rayburn House Office Building; Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,01840,N00027626,,1021626,412196,66247,Vern Buchanan,,20709,Vern Buchanan
Bucshon,Larry,1962-05-31,M,rep,IN,8,,Republican,https://bucshon.house.gov,1005 Longworth House Office Building; Washington DC 20515-1408,202-225-4636,,http://bucshon.house.gov/rss.xml,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,02018,N00031227,,61837,412427,120335,Larry Bucshon,,21132,Larry Bucshon
Burgess,Michael,1950-12-23,M,rep,TX,26,,Republican,https://burgess.house.gov,2336 Rayburn House Office Building; Washington DC 20515-4326,202-225-7772,,http://burgess.house.gov/news/rss.aspx,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,B001248,01751,N00025219,,1003620,400052,50120,,,20355,Michael C. Burgess
Burr,Richard,1955-11-30,M,sen,NC,,3,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact/email,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,00153,N00002221,S300,31054,400054,21787,Richard Burr,,29548,Richard Burr
Butterfield,George,1947-04-27,M,rep,NC,1,,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building; Washington DC 20515-3301,202-225-3101,,http://butterfield.house.gov/rss/press-releases.xml/,GKButterfield,congressmangkbutterfield,GKBNC01,UCbodCVgLfcbaep49L1M-mqA,B001251,01761,N00027035,,1013540,400616,41077,G.K. Butterfield,,20340,G. K. Butterfield
Calvert,Ken,1953-06-08,M,rep,CA,42,,Republican,https://calvert.house.gov,2205 Rayburn House Office Building; Washington DC 20515-0542,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,00165,N00007099,,26709,400057,26777,,,29323,Ken Calvert
Capito,Shelley,1953-11-26,F,sen,WV,,2,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,01676,N00009771,S372,83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito
Capuano,Michael,1952-01-09,M,rep,MA,7,,Democrat,http://capuano.house.gov,1414 Longworth House Office Building; Washington DC 20515-2107,202-225-5111,,,RepMikeCapuano,RepMichaelCapuano,RepMikeCapuano,UCvzAdbimlJksgZjEMQn0kuw,C001037,01564,N00000267,,56760,400063,18883,Michael Capuano,,29919,Mike Capuano
Carson,André,1974-10-16,M,rep,IN,7,,Democrat,https://carson.house.gov,2135 Rayburn House Office Building; Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,01889,N00029513,,1027364,412258,84917,Andre Carson,,20757,André Carson
Carter,John,1941-11-06,M,rep,TX,31,,Republican,https://carter.house.gov,2110 Rayburn House Office Building; Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,01752,N00025095,,1004257,400068,49296,John Carter,,20356,John Carter (Texas politician)
